T_Rank,O_Rank,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,points
4,4,90.0,7.0,0.0,7.0,100.0,1.0,2.5,0.0,0.0,0.0,0.0,3.0,16.0,18.8,23.0,6.0,60.9,45.1,2.0,100.0,73.5,14.0,2.0,14.3,8.0
4,3,90.0,1.0,0.0,1.0,100.0,1.0,0.3,0.0,0.0,0.0,0.0,3.0,7.0,42.9,19.0,6.0,31.6,28.5,5.0,20.0,33.0,12.0,0.0,0.0,6.0
4,3,90.0,5.0,2.0,3.0,60.0,0.0,2.2,0.0,0.0,0.0,0.0,4.0,25.0,16.0,31.0,3.0,61.3,46.7,6.0,100.0,67.0,17.0,2.0,11.8,2.0
4,3,90.0,4.0,1.0,3.0,100.0,0.0,1.3,1.0,1.0,0.0,0.0,2.0,6.0,33.3,20.0,4.0,25.0,27.5,2.0,50.0,47.5,10.0,0.0,0.0,3.0
4,3,90.0,2.0,0.0,2.0,100.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,7.0,13.6,24.7,5.0,60.0,52.4,11.0,1.0,9.1,6.0
4,4,90.0,1.0,0.0,1.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,2.0,9.0,22.2,28.0,4.0,28.6,32.3,2.0,50.0,42.5,10.0,0.0,0.0,6.0
4,2,90.0,2.0,0.0,2.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,2.0,50.0,18.0,7.0,5.6,19.2,4.0,25.0,32.5,11.0,1.0,9.1,6.0
4,1,90.0,3.0,1.0,2.0,66.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,27.0,5.0,33.3,35.6,2.0,0.0,17.5,14.0,0.0,0.0,2.0
4,2,90.0,4.0,0.0,4.0,100.0,1.0,1.3,1.0,0.0,0.0,1.0,3.0,17.0,17.6,36.0,5.0,33.3,36.0,8.0,62.5,50.4,14.0,1.0,7.1,5.0
4,4,90.0,3.0,2.0,1.0,33.3,0.0,0.9,0.0,0.0,0.0,0.0,5.0,18.0,27.8,22.0,5.0,63.6,47.1,4.0,100.0,68.0,9.0,0.0,0.0,1.0
4,4,90.0,3.0,1.0,2.0,100.0,0.0,1.1,1.0,1.0,0.0,0.0,5.0,9.0,55.6,18.0,4.0,38.9,35.5,2.0,100.0,76.5,5.0,0.0,0.0,2.0
4,1,90.0,2.0,0.0,2.0,100.0,1.0,0.4,0.0,0.0,0.0,0.0,2.0,15.0,13.3,20.0,4.0,45.0,36.9,6.0,100.0,72.2,14.0,1.0,7.1,6.0
4,4,90.0,6.0,3.0,3.0,50.0,0.0,3.1,0.0,0.0,0.0,0.0,7.0,18.0,38.9,38.0,7.0,42.1,35.6,3.0,66.7,55.3,6.0,0.0,0.0,2.0
4,3,90.0,3.0,1.0,2.0,66.7,0.0,0.2,0.0,0.0,0.0,0.0,3.0,13.0,23.1,22.0,9.0,40.9,37.6,5.0,80.0,61.8,9.0,0.0,0.0,2.0
4,1,90.0,3.0,1.0,2.0,66.7,0.0,1.1,0.0,0.0,0.0,0.0,3.0,10.0,30.0,22.0,5.0,31.8,30.8,8.0,37.5,34.6,10.0,2.0,20.0,2.0
4,1,90.0,1.0,0.0,1.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,5.0,13.0,38.5,23.0,2.0,39.1,33.6,4.0,100.0,72.3,12.0,0.0,0.0,6.0
4,3,90.0,2.0,2.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5.0,13.0,38.5,23.0,3.0,43.5,37.3,3.0,100.0,72.3,6.0,0.0,0.0,1.0
4,2,90.0,2.0,0.0,2.0,100.0,1.0,0.3,0.0,0.0,0.0,0.0,8.0,15.0,53.3,30.0,4.0,46.7,36.5,2.0,50.0,43.5,16.0,2.0,12.5,6.0
4,4,90.0,6.0,4.0,2.0,33.3,0.0,2.5,0.0,0.0,0.0,0.0,6.0,13.0,46.2,27.0,6.0,44.4,34.7,8.0,12.5,18.5,14.0,0.0,0.0,0.0
4,4,90.0,5.0,2.0,4.0,60.0,0.0,1.7,0.0,0.0,0.0,0.0,3.0,10.0,30.0,25.0,2.0,36.0,34.5,4.0,25.0,25.8,10.0,1.0,10.0,2.0
4,2,90.0,4.0,0.0,4.0,100.0,1.0,0.9,0.0,0.0,0.0,0.0,1.0,4.0,25.0,23.0,8.0,13.0,28.7,11.0,9.1,17.4,18.0,1.0,5.6,7.0
4,3,90.0,4.0,2.0,2.0,50.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,100.0,10.0,3.0,0.0,23.1,4.0,25.0,25.8,6.0,0.0,0.0,1.0
4,2,90.0,5.0,3.0,2.0,40.0,0.0,2.4,0.0,0.0,0.0,0.0,3.0,10.0,30.0,20.0,3.0,50.0,36.8,5.0,0.0,13.4,6.0,1.0,16.7,1.0
4,4,90.0,6.0,2.0,4.0,66.7,0.0,2.1,0.0,0.0,0.0,0.0,1.0,8.0,12.5,13.0,3.0,38.5,30.3,6.0,50.0,35.2,10.0,0.0,0.0,2.0
4,1,90.0,4.0,2.0,2.0,50.0,0.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,50.0,13.0,4.0,15.4,27.2,6.0,0.0,19.5,8.0,0.0,0.0,1.0
4,3,90.0,5.0,2.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,12.0,58.3,19.0,4.0,42.1,33.4,6.0,66.7,38.8,13.0,1.0,7.7,2.0
4,4,90.0,10.0,2.0,8.0,80.0,0.0,1.8,0.0,0.0,0.0,0.0,7.0,11.0,63.6,27.0,7.0,37.0,31.2,11.0,9.1,18.2,10.0,0.0,0.0,3.0
4,3,90.0,4.0,0.0,4.0,100.0,1.0,0.7,0.0,0.0,0.0,0.0,5.0,12.0,41.7,27.0,2.0,33.3,34.3,7.0,42.9,27.6,11.0,2.0,18.2,7.0
